时间戳,开盘价,最高价,最低价,收盘价,成交量,time
1553731200000,90.0,98.89,88.0,95.74,2319.41987,2019-03-28 08:00:00
1553817600000,95.74,98.19,94.91,98.13,3565.30155,2019-03-29 08:00:00
1553904000000,98.3,101.0,95.5,100.78,3540.27743,2019-03-30 08:00:00
1553990400000,100.58,110.89,99.61,110.7,11668.43675,2019-03-31 08:00:00
1554076800000,110.5,120.06,107.71,112.97,16508.93631,2019-04-01 08:00:00
1554163200000,113.28,125.84,111.03,123.69,15379.30754,2019-04-02 08:00:00
1554249600000,123.5,139.1,118.38,123.43,26058.20443,2019-04-03 08:00:00
1554336000000,123.78,131.65,119.02,122.87,8434.43214,2019-04-04 08:00:00
1554422400000,122.87,134.24,122.87,132.78,5803.26085,2019-04-05 08:00:00
1554508800000,132.84,137.83,128.01,130.93,4302.73303,2019-04-06 08:00:00
1554595200000,130.55,135.33,130.11,135.11,4221.6208,2019-04-07 08:00:00
1554681600000,135.17,137.85,128.67,135.3,5806.88245,2019-04-08 08:00:00
1554768000000,135.2,135.52,128.84,131.4,3535.66865,2019-04-09 08:00:00
1554854400000,131.32,133.38,126.43,129.74,4500.68937,2019-04-10 08:00:00
1554940800000,129.73,129.84,113.2,122.3,7797.38187,2019-04-11 08:00:00
1555027200000,122.3,123.03,114.98,118.93,4715.41854,2019-04-12 08:00:00
1555113600000,118.72,119.84,117.11,119.1,1390.26356,2019-04-13 08:00:00
1555200000000,119.1,123.16,117.88,122.57,1796.90255,2019-04-14 08:00:00
1555286400000,122.57,123.78,115.04,118.56,2777.43757,2019-04-15 08:00:00
1555372800000,118.48,131.0,115.54,120.61,5110.50898,2019-04-16 08:00:00
1555459200000,120.5,122.33,118.44,120.08,2189.18509,2019-04-17 08:00:00
1555545600000,119.94,125.59,119.7,123.52,5542.19338,2019-04-18 08:00:00
1555632000000,123.54,123.82,119.45,122.11,3781.2912,2019-04-19 08:00:00
1555718400000,121.87,124.47,121.3,123.1,1741.75754,2019-04-20 08:00:00
1555804800000,123.27,123.72,117.22,121.19,3007.97153,2019-04-21 08:00:00
1555891200000,121.22,122.88,118.75,121.65,1540.87078,2019-04-22 08:00:00
1555977600000,122.15,125.38,117.05,117.05,1997.62099,2019-04-23 08:00:00
1556064000000,117.0,120.28,110.8,115.02,5968.04325,2019-04-24 08:00:00
