时间戳,开盘价,最高价,最低价,收盘价,成交量,time
1514764800000,733.01,763.55,716.8,754.99,53909.25885,2018-01-01 08:00:00
1514851200000,754.99,899.5,749.06,855.28,113257.78355,2018-01-02 08:00:00
1514937600000,855.13,950.01,810.0,934.03,89041.45688,2018-01-03 08:00:00
1515024000000,934.03,1009.72,890.01,940.0,102894.47384,2018-01-04 08:00:00
1515110400000,940.0,1045.0,930.0,959.3,97374.0163,2018-01-05 08:00:00
1515196800000,958.0,1017.56,950.0,1004.11,71954.27895,2018-01-06 08:00:00
1515283200000,1003.71,1125.0,999.9,1123.09,65278.81957,2018-01-07 08:00:00
1515369600000,1123.09,1239.18,910.0,1133.18,158831.54798,2018-01-08 08:00:00
1515456000000,1133.18,1326.5,1104.85,1291.0,118702.88684,2018-01-09 08:00:00
1515542400000,1291.0,1440.0,1201.1,1247.0,160185.0129,2018-01-10 08:00:00
1515628800000,1249.03,1332.49,1021.0,1138.93,194546.29387,2018-01-11 08:00:00
1515715200000,1136.45,1288.5,1069.01,1253.87,93763.47261,2018-01-12 08:00:00
1515801600000,1253.87,1427.01,1252.0,1388.02,75893.43201,2018-01-13 08:00:00
1515888000000,1388.1,1391.89,1220.89,1347.0,98391.19585,2018-01-14 08:00:00
1515974400000,1347.99,1383.13,1258.12,1271.0,69236.70476,2018-01-15 08:00:00
1516060800000,1268.67,1275.01,780.0,1000.0,343889.36509,2018-01-16 08:00:00
1516147200000,999.99,1075.51,755.0,1000.0,436333.67326,2018-01-17 08:00:00
1516233600000,1000.0,1075.2,924.21,994.0,294545.71207,2018-01-18 08:00:00
1516320000000,993.3,1079.0,941.0,1032.5,167954.11253,2018-01-19 08:00:00
1516406400000,1032.5,1165.4,1031.0,1152.75,123352.58362,2018-01-20 08:00:00
1516492800000,1150.37,1152.69,998.0,1049.0,175031.00789,2018-01-21 08:00:00
1516579200000,1049.0,1090.15,908.0,993.0,185212.52002,2018-01-22 08:00:00
1516665600000,993.0,1030.0,909.0,980.0,160159.63958,2018-01-23 08:00:00
1516752000000,981.2,1074.0,953.09,1061.0,134257.7947,2018-01-24 08:00:00
1516838400000,1060.34,1115.0,1030.26,1056.52,119415.93495,2018-01-25 08:00:00
1516924800000,1055.29,1082.0,986.0,1051.03,145113.638,2018-01-26 08:00:00
1517011200000,1051.03,1127.99,1032.2,1118.99,96894.33839,2018-01-27 08:00:00
1517097600000,1118.99,1277.0,1112.0,1251.96,143510.73586,2018-01-28 08:00:00
1517184000000,1251.96,1258.89,1161.65,1177.01,105292.76808,2018-01-29 08:00:00
1517270400000,1177.01,1186.85,1051.0,1085.5,155278.55404,2018-01-30 08:00:00
1517356800000,1084.63,1135.0,1029.0,1124.81,100372.03783,2018-01-31 08:00:00
1517443200000,1125.96,1164.99,981.0,1041.94,203355.29052,2018-02-01 08:00:00
1517529600000,1041.89,1047.2,783.67,922.3,377375.22874,2018-02-02 08:00:00
1517616000000,923.67,998.0,851.0,971.0,160037.88129,2018-02-03 08:00:00
1517702400000,971.0,975.0,789.0,823.56,186446.0316,2018-02-04 08:00:00
1517788800000,821.6,862.47,634.94,697.92,365516.52899,2018-02-05 08:00:00
1517875200000,697.93,798.0,570.1,779.25,648944.4204,2018-02-06 08:00:00
1517961600000,779.99,849.0,714.18,754.0,356403.4441,2018-02-07 08:00:00
1518048000000,753.19,786.93,751.0,781.66,10516.2619,2018-02-08 08:00:00
1518134400000,781.66,882.2,781.66,877.0,95447.67289,2018-02-09 08:00:00
1518220800000,876.3,911.2,800.0,851.15,214818.06768,2018-02-10 08:00:00
1518307200000,851.15,857.0,768.28,808.99,189323.408,2018-02-11 08:00:00
1518393600000,808.58,877.56,807.46,866.66,143586.93121,2018-02-12 08:00:00
1518480000000,866.39,871.0,820.0,841.57,110305.93537,2018-02-13 08:00:00
1518566400000,841.57,924.99,841.3,919.09,150342.85558,2018-02-14 08:00:00
1518652800000,919.09,946.66,895.59,924.55,155637.78524,2018-02-15 08:00:00
1518739200000,924.55,948.48,901.36,938.67,115540.16349,2018-02-16 08:00:00
1518825600000,938.6,974.0,933.48,969.99,110091.03618,2018-02-17 08:00:00
1518912000000,969.99,978.5,897.0,911.0,160129.79518,2018-02-18 08:00:00
1518998400000,911.0,956.22,906.04,938.11,80099.49534,2018-02-19 08:00:00
1519084800000,939.17,961.0,873.0,882.99,120056.67502,2018-02-20 08:00:00
1519171200000,882.99,908.88,812.87,835.89,176200.55151,2018-02-21 08:00:00
1519257600000,836.35,871.96,786.6,801.49,137561.85113,2018-02-22 08:00:00
1519344000000,801.47,885.0,785.99,851.6,154507.41338,2018-02-23 08:00:00
1519430400000,851.59,875.0,805.0,833.94,89311.5794,2018-02-24 08:00:00
1519516800000,833.92,849.5,813.18,841.19,59431.26474,2018-02-25 08:00:00
1519603200000,841.46,882.0,833.0,867.98,74911.4656,2018-02-26 08:00:00
1519689600000,867.98,897.49,860.69,870.11,63487.68425,2018-02-27 08:00:00
1519776000000,871.84,891.0,850.3,853.5,53620.45209,2018-02-28 08:00:00
1519862400000,853.5,879.96,848.65,870.63,43785.00503,2018-03-01 08:00:00
1519948800000,870.63,876.22,850.0,856.28,39436.26006,2018-03-02 08:00:00
1520035200000,856.27,870.78,852.3,856.02,34170.2942,2018-03-03 08:00:00
1520121600000,856.51,868.0,836.24,866.66,29735.01829,2018-03-04 08:00:00
1520208000000,866.61,871.75,847.2,849.84,30567.79813,2018-03-05 08:00:00
1520294400000,849.81,853.18,803.01,813.11,48658.06883,2018-03-06 08:00:00
1520380800000,813.31,826.2,718.4,749.9,109013.2838,2018-03-07 08:00:00
1520467200000,749.02,772.07,684.0,695.46,76312.77819,2018-03-08 08:00:00
1520553600000,695.48,727.92,640.0,723.71,116545.37303,2018-03-09 08:00:00
1520640000000,723.65,745.0,673.06,680.58,63012.67972,2018-03-10 08:00:00
1520726400000,680.58,735.0,659.15,720.85,73967.35869,2018-03-11 08:00:00
1520812800000,721.0,740.5,676.31,697.11,67732.85988,2018-03-12 08:00:00
1520899200000,696.52,713.76,680.0,689.94,55735.18315,2018-03-13 08:00:00
1520985600000,690.16,703.54,585.0,610.1,89904.25415,2018-03-14 08:00:00
1521072000000,610.1,621.12,570.0,608.83,94426.72453,2018-03-15 08:00:00
1521158400000,608.83,625.3,584.15,599.05,64720.20994,2018-03-16 08:00:00
1521244800000,599.03,609.26,544.0,546.95,68022.4592,2018-03-17 08:00:00
1521331200000,547.98,560.0,450.0,537.0,248817.226,2018-03-18 08:00:00
1521417600000,537.39,560.0,515.8,556.88,184798.77062,2018-03-19 08:00:00
1521504000000,556.88,567.87,515.0,557.0,135426.91549,2018-03-20 08:00:00
1521590400000,557.0,590.52,545.11,559.17,117019.17321,2018-03-21 08:00:00
1521676800000,559.15,578.6,516.0,539.92,111106.19916,2018-03-22 08:00:00
1521763200000,539.78,544.72,506.71,543.03,106416.06746,2018-03-23 08:00:00
1521849600000,543.2,545.99,518.63,520.22,87710.78945,2018-03-24 08:00:00
1521936000000,521.17,536.0,512.0,523.74,71903.1713,2018-03-25 08:00:00
1522022400000,523.95,527.67,465.56,485.0,151084.23688,2018-03-26 08:00:00
1522108800000,485.0,491.55,446.0,448.5,138188.76042,2018-03-27 08:00:00
1522195200000,448.5,466.0,440.14,446.67,89895.47885,2018-03-28 08:00:00
