时间戳,开盘价,最高价,最低价,收盘价,成交量,time
1597968000000,0.5397,0.5397,0.401,0.4314,2884153.28,2020-08-21 08:00:00
1598054400000,0.4317,0.4987,0.412,0.4712,4198278.44,2020-08-22 08:00:00
1598140800000,0.469,0.494,0.4523,0.4821,10755011.03,2020-08-23 08:00:00
1598227200000,0.4821,0.5334,0.4792,0.5315,2243774.75,2020-08-24 08:00:00
1598313600000,0.5323,0.5324,0.4478,0.4619,2608675.14,2020-08-25 08:00:00
1598400000000,0.4619,0.4983,0.4603,0.498,1831323.23,2020-08-26 08:00:00
1598486400000,0.4983,0.5182,0.4701,0.5046,3018123.53,2020-08-27 08:00:00
1598572800000,0.5033,0.57,0.5017,0.5662,3694034.11,2020-08-28 08:00:00
1598659200000,0.5662,0.5691,0.5165,0.538,2172028.16,2020-08-29 08:00:00
1598745600000,0.538,0.563,0.5222,0.5326,2697793.49,2020-08-30 08:00:00
1598832000000,0.5333,0.535,0.5078,0.5097,2704706.1,2020-08-31 08:00:00
1598918400000,0.5105,0.5106,0.4745,0.4808,3953475.68,2020-09-01 08:00:00
1599004800000,0.4806,0.4814,0.4185,0.4428,3695631.01,2020-09-02 08:00:00
1599091200000,0.4428,0.45,0.37,0.3778,4072613.69,2020-09-03 08:00:00
1599177600000,0.3748,0.3813,0.3598,0.3685,3338968.01,2020-09-04 08:00:00
1599264000000,0.3689,0.3777,0.3183,0.3264,2996620.05,2020-09-05 08:00:00
1599350400000,0.3261,0.3363,0.3104,0.3325,3122558.17,2020-09-06 08:00:00
1599436800000,0.3325,0.3378,0.3071,0.3257,2699267.69,2020-09-07 08:00:00
1599523200000,0.3258,0.3287,0.3078,0.3165,2027110.78,2020-09-08 08:00:00
1599609600000,0.3162,0.3291,0.3084,0.3167,1831995.91,2020-09-09 08:00:00
1599696000000,0.3167,0.3868,0.3163,0.3498,4329407.69,2020-09-10 08:00:00
1599782400000,0.3497,0.357,0.3141,0.3384,4030025.95,2020-09-11 08:00:00
1599868800000,0.3383,0.3391,0.318,0.3294,5214097.92,2020-09-12 08:00:00
1599955200000,0.3291,0.3483,0.3001,0.3088,3657468.6,2020-09-13 08:00:00
1600041600000,0.3087,0.3247,0.3061,0.3194,1786079.78,2020-09-14 08:00:00
1600128000000,0.3193,0.355,0.3053,0.335,6603185.34,2020-09-15 08:00:00
1600214400000,0.3345,0.3612,0.3183,0.3206,6922022.93,2020-09-16 08:00:00
1600300800000,0.3202,0.3309,0.31,0.3119,4116296.53,2020-09-17 08:00:00
1600387200000,0.3116,0.3307,0.3089,0.3196,4156463.87,2020-09-18 08:00:00
1600473600000,0.3196,0.3226,0.3058,0.3179,1752924.5,2020-09-19 08:00:00
1600560000000,0.3175,0.325,0.3028,0.3094,1619967.79,2020-09-20 08:00:00
1600646400000,0.3093,0.3161,0.288,0.2884,2278558.04,2020-09-21 08:00:00
1600732800000,0.2891,0.3041,0.2881,0.3003,1095021.61,2020-09-22 08:00:00
1600819200000,0.3005,0.3038,0.2899,0.2909,640287.05,2020-09-23 08:00:00
1600905600000,0.2909,0.3036,0.2879,0.3029,1367873.82,2020-09-24 08:00:00
1600992000000,0.3034,0.3411,0.2898,0.324,4969756.62,2020-09-25 08:00:00
1601078400000,0.324,0.33,0.31,0.3154,1556314.86,2020-09-26 08:00:00
1601164800000,0.3148,0.3184,0.3093,0.3133,789126.33,2020-09-27 08:00:00
1601251200000,0.3134,0.3499,0.3134,0.3223,2509797.04,2020-09-28 08:00:00
1601337600000,0.3221,0.3579,0.3218,0.3344,3732916.57,2020-09-29 08:00:00
1601424000000,0.3347,0.3427,0.327,0.3348,1845947.92,2020-09-30 08:00:00
